,id_new,id,pt,geometry,all_tags
593,42.7620364_-83.509565_ts2,42.762_-83.51_ts2,"(42.7620364, -83.509565)","POLYGON((-83.509565 42.7620364, -83.5109919 42.7631992, -83.5111495 42.7631743, -83.511072 42.7628731, -83.5095032 42.7616006, -83.5094366 42.7616375, -83.5095385 42.7620105, -83.509565 42.7620364))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'truck parking'}, {'key': 'parking', 'value': 'surface'}]"
594,49.9745483_14.6035215_ts2,49.975_14.604_ts2,"(49.9745483, 14.6035215)","POLYGON((14.6035215 49.9745483, 14.6010718 49.9751171, 14.6012073 49.9749307, 14.6036589 49.9743545, 14.6038105 49.9743189, 14.6039346 49.974353, 14.6039145 49.9743775, 14.6038346 49.9744749, 14.6037919 49.9745269, 14.6037518 49.9745144, 14.6037057 49.9745096, 14.6036704 49.9745138, 14.6035215 49.9745483))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'hgv', 'value': 'designated'}, {'key': 'name', 'value': 'TRUCK - LKW'}, {'key': 'parking', 'value': 'surface'}]"
595,37.2369058_-85.9277013_ts2,37.237_-85.928_ts2,"(37.2369058, -85.9277013)","POLYGON((-85.9277013 37.2369058, -85.9276342 37.236594, -85.9274679 37.2365086, -85.9270656 37.2366025, -85.9259149 37.238029, -85.9258077 37.2382468, -85.9257916 37.2384625, -85.9258613 37.2399914, -85.925872 37.240064, -85.9259203 37.2401387, -85.926607 37.2410313, -85.926674 37.2409971, -85.9265614 37.2383877, -85.9265882 37.2383087, -85.9277013 37.2369058))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'truck parking'}, {'key': 'parking', 'value': 'surface'}]"
596,52.763381_6.9052358_ts2,52.763_6.905_ts2,"(52.763381, 6.9052358)","POLYGON((6.9052358 52.763381, 6.9053611 52.7632995, 6.9070251 52.7637927, 6.907189 52.7640464, 6.9071059 52.7641399, 6.9053834 52.7636341, 6.9052358 52.763381))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'Truck parking'}]"
597,43.9513277_-89.4824807_ts2,43.951_-89.482_ts2,"(43.9513277, -89.4824807)","POLYGON((-89.4824807 43.9513277, -89.4825383 43.9496339, -89.4821542 43.9492986, -89.4820918 43.9510546, -89.4824807 43.9513277))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'Truck Parking'}, {'key': 'parking', 'value': 'surface'}]"
598,45.808942_4.7704204_ts2,45.809_4.77_ts2,"(45.808942, 4.7704204)","POLYGON((4.7704204 45.808942, 4.7701855 45.8096266, 4.7700098 45.8094402, 4.7702458 45.8087074, 4.7704204 45.808942))","[{'key': 'access', 'value': 'yes'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'capacity', 'value': '17'}, {'key': 'fee', 'value': 'no'}, {'key': 'hgv', 'value': 'designated'}, {'key': 'name', 'value': 'truck'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
599,45.8862817_4.8951361_ts2,45.886_4.895_ts2,"(45.8862817, 4.8951361)","POLYGON((4.8951361 45.8862817, 4.8949336 45.8860959, 4.8949769 45.8859307, 4.8950945 45.8855965, 4.8952018 45.8853911, 4.8953573 45.8855694, 4.8952031 45.8860408, 4.8951361 45.8862817))","[{'key': 'access', 'value': 'yes'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'capacity', 'value': '15'}, {'key': 'fee', 'value': 'no'}, {'key': 'hgv', 'value': 'designated'}, {'key': 'name', 'value': 'truck'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
600,44.6474172_4.7920191_ts2,44.647_4.792_ts2,"(44.6474172, 4.7920191)","POLYGON((4.7920191 44.6474172, 4.7918576 44.6470097, 4.7920373 44.646857, 4.7921785 44.647245, 4.7921929 44.6472845, 4.7920346 44.6474562, 4.7920191 44.6474172))","[{'key': 'access', 'value': 'yes'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'capacity', 'value': '10'}, {'key': 'fee', 'value': 'no'}, {'key': 'hgv', 'value': 'designated'}, {'key': 'name', 'value': 'truck'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
601,42.1713575_-85.6446022_ts2,42.171_-85.645_ts2,"(42.1713575, -85.6446022)","POLYGON((-85.6446022 42.1713575, -85.6444761 42.1713416, -85.6444305 42.1714469, -85.6443259 42.1716, -85.6442615 42.1717511, -85.6442562 42.1718525, -85.6443474 42.1731167, -85.6445324 42.1731684, -85.6446129 42.1732499, -85.6447148 42.1732499, -85.6446022 42.1713575))","[{'key': 'access', 'value': 'yes'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'fee', 'value': 'no'}, {'key': 'name', 'value': 'truck parking'}, {'key': 'parking', 'value': 'surface'}]"
602,49.2660913_6.7319272_ts2,49.266_6.732_ts2,"(49.2660913, 6.7319272)","POLYGON((6.7319272 49.2660913, 6.7321282 49.2660533, 6.7320826 49.2659505, 6.7331658 49.2657457, 6.7332995 49.266047, 6.7320153 49.2662897, 6.7319272 49.2660913))","[{'key': 'access', 'value': 'private'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
603,47.3125691_4.5006983_ts2,47.313_4.501_ts2,"(47.3125691, 4.5006983)","POLYGON((4.5006983 47.3125691, 4.500943 47.3124656, 4.5007178 47.313264, 4.500711 47.3132882, 4.5004353 47.3134176, 4.5003113 47.3133999, 4.5002908 47.3134682, 4.5002811 47.3135004, 4.5001043 47.3133288, 4.5001126 47.3133028, 4.5004366 47.3122837, 4.5005936 47.3124592, 4.5005661 47.3125508, 4.5006983 47.3125691))","[{'key': 'access', 'value': 'customers'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'fee', 'value': 'no'}, {'key': 'hgv', 'value': 'designated'}, {'key': 'name', 'value': 'Trucks'}, {'key': 'parking', 'value': 'surface'}]"
604,47.3125527_4.5012034_ts2,47.313_4.501_ts2,"(47.3125527, 4.5012034)","POLYGON((4.5012034 47.3125527, 4.5012191 47.3124997, 4.5015019 47.3123866, 4.5014838 47.3124439, 4.501195 47.3133587, 4.5009306 47.3134766, 4.5012034 47.3125527))","[{'key': 'access', 'value': 'customers'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'fee', 'value': 'no'}, {'key': 'hgv', 'value': 'designated'}, {'key': 'name', 'value': 'Trucks'}, {'key': 'parking', 'value': 'surface'}]"
